"Chr"	"Start"	"End"	"Peak Score"
"chr4"	130359131	130360131	91
"chr14"	54516564	54517564	224
"chr7"	127273269	127274269	119
"chr19"	3852045	3853045	109
"chr3"	54734748	54735748	69
"chr3"	54734149	54735149	105
"chr2"	3512002	3513002	166
"chr5"	114130091	114131091	53
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr2"	26932508	26933508	107
"chr7"	127244022	127245022	97
"chr7"	45509829	45510829	153
"chr10"	79766177	79767177	81
"chr10"	79766960	79767960	43
"chr7"	118854824	118855824	77
"chr7"	118797781	118798781	150
"chr6"	125131837	125132837	94
"chr6"	125131054	125132054	69
"chr8"	84686906	84687906	45
"chr4"	126046841	126047841	170
"chr6"	50261081	50262081	48
"chr6"	50261579	50262579	104
"chr13"	55535676	55536676	223
"chr13"	30545090	30546090	65
"chr13"	30544426	30545426	157
"chr11"	60776560	60777560	66
"chr11"	60775982	60776982	32
"chr14"	22019413	22020413	145
"chr7"	109174538	109175538	65
"chr10"	60002134	60003134	126
"chr2"	12923676	12924676	95
"chr7"	29238126	29239126	165
"chr8"	66859832	66860832	66
"chr8"	66860597	66861597	103
"chr5"	24577438	24578438	105
"chr5"	24576634	24577634	152
"chr6"	28479301	28480301	108
"chr6"	28480215	28481215	122
"chr2"	71389003	71390003	174
"chr13"	21735099	21736099	122
"chr12"	110978593	110979593	92
"chr10"	78169094	78170094	110
"chr10"	78158994	78159994	69
"chr13"	6547267	6548267	55
"chr18"	56562136	56563136	107
"chr18"	56562136	56563136	107
"chr2"	155728655	155729655	172
"chr17"	23828264	23829264	173
"chr17"	23828869	23829869	66
"chr5"	92504663	92505663	110
"chr5"	36795526	36796526	51
"chr1"	180903447	180904447	78
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr1"	168430725	168431725	98
"chr1"	168430725	168431725	98
"chr13"	34148632	34149632	57
"chr13"	34154311	34155311	92
"chr13"	34187289	34188289	86
"chr3"	138489385	138490385	158
"chr9"	50602984	50603984	130
"chr9"	65826549	65827549	118
"chr9"	65827177	65828177	47
"chr5"	103754096	103755096	83
"chr5"	103753377	103754377	62
"chr5"	103754096	103755096	83
"chr19"	17355773	17356773	159
"chr14"	65592283	65593283	242
"chr11"	19018215	19019215	54
"chr11"	19026002	19027002	69
"chr11"	18871434	18872434	81
"chr4"	129695931	129696931	179
"chr12"	90738162	90739162	102
"chr4"	129623329	129624329	146
"chr5"	136918767	136919767	139
"chr15"	89378596	89379596	63
"chr17"	71616273	71617273	163
"chr10"	127030057	127031057	266
"chr6"	117841016	117842016	141
"chr3"	102714886	102715886	104
"chr3"	102734712	102735712	96
"chr6"	135197685	135198685	129
"chr17"	24204900	24205900	153
"chr4"	128961701	128962701	52
"chr4"	128924842	128925842	101
"chr14"	99045044	99046044	58
"chr14"	98872791	98873791	55
"chr2"	53190318	53191318	135
"chr8"	69183561	69184561	123
"chr2"	53190318	53191318	135
"chr10"	18196841	18197841	88
"chr8"	107096288	107097288	100
"chr4"	98922305	98923305	111
"chr4"	98924394	98925394	46
"chr4"	98923970	98924970	52
"chr8"	110618256	110619256	100
"chr4"	134000104	134001104	252
"chr3"	95754127	95755127	173
"chr7"	113207063	113208063	74
"chr1"	75210418	75211418	117
"chr12"	85279523	85280523	133
"chr5"	130079293	130080293	111
"chr7"	42642160	42643160	121
"chr6"	125349695	125350695	137
"chr6"	125349695	125350695	137
