"PeakID (cmd=annotatePeaks.pl clp_cd8_H3K4me3.txt mm10 -size -500,500)",Chr,Start,End,Strand,Peak Score,Focus Ratio/Region Size,Annotation,Detailed Annotation,Distance to TSS,Nearest PromoterID,Entrez ID,Nearest Unigene,Nearest Refseq,Nearest Ensembl,Gene Name,Gene Alias,Gene Description,Gene Type
clp_H3K4me3_1_peak_7169,chr17,56997014,56998014,+,140,NA,"exon (NM_025538, exon 1 of 4)","exon (NM_025538, exon 1 of 4)",175,NM_025538,66400,Mm.196150,NM_025538,ENSMUSG00000002661,Alkbh7,2310045B01Rik|2510008E23Rik|Abh7|Spata11,alkB homolog 7,protein-coding
clp_H3K4me3_1_peak_8994,chr2,76369829,76370829,+,140,NA,"exon (NM_153405, exon 1 of 10)","exon (NM_153405, exon 1 of 10)",345,NM_153405,241490,Mm.33310,NM_153405,ENSMUSG00000042369,Rbm45,Drb1|Drbp1|G430095G15Rik,RNA binding motif protein 45,protein-coding
clp_H3K4me3_1_peak_1120,chr10,18022243,18023243,+,140,NA,"intron (NM_028440, intron 1 of 2)",CpG,347,NM_001359560,73112,Mm.276041,NM_028440,ENSMUSG00000078453,Abracl,1700028I04Rik|3110003A17Rik,ABRA C-terminal like,protein-coding
clp_H3K4me3_1_peak_8326,chr19,46152344,46153344,+,140,NA,"intron (NM_178930, intron 1 of 39)",CpG,286,NM_178930,107338,Mm.271620,NM_178930,ENSMUSG00000025224,Gbf1,1700083E03Rik|AI035702|AW049900|mKIAA0248,golgi-specific brefeldin A-resistance factor 1,protein-coding
clp_H3K4me3_1_peak_14055,chr7,31207992,31208992,+,140,NA,Intergenic,CpG,46134,NR_046062,100038516,Mm.387223,NR_046062,ENSMUSG00000100985,Gm10640,EG668322,predicted gene 10640,ncRNA
clp_H3K4me3_1_peak_6031-2,chr16,15593775,15594775,+,140,NA,"intron (NM_001159351, intron 1 of 2)",CpG,243,NM_023585,70620,Mm.235407,NM_023585,ENSMUSG00000022674,Ube2v2,1110021H13Rik|4632410D19Rik|5730524P06Rik|6820402M05|AI848315|C81524|MMS2,ubiquitin-conjugating enzyme E2 variant 2,protein-coding
clp_H3K4me3_1_peak_10832,chr4,46389271,46390271,+,140,NA,promoter-TSS (NM_029086),promoter-TSS (NM_029086),-334,NM_001347095,74753,Mm.45973,NM_029086,ENSMUSG00000028331,Trmo,5830415F09Rik|AV014846|Nap1,tRNA methyltransferase O,protein-coding
clp_H3K4me3_1_peak_864,chr1,171606668,171607668,+,140,NA,"non-coding (NR_102726, exon 1 of 10)","non-coding (NR_102726, exon 1 of 10)",166,NR_102726,17085,Mm.560,NM_008534,ENSMUSG00000004707,Ly9,AI893573|CD229|Lgp100|Ly-9|SLAMF3|T100,lymphocyte antigen 9,protein-coding
clp_H3K4me3_1_peak_986,chr1,185362909,185363909,+,140,NA,"intron (NM_001357474, intron 1 of 32)",CpG,365,NM_029735,107508,Mm.154511,NM_029735,ENSMUSG00000026615,Eprs,2410081F06Rik|3010002K18Rik|C79379|Qprs,glutamyl-prolyl-tRNA synthetase,protein-coding
clp_H3K4me3_1_peak_11509,chr4,138434310,138435310,+,140,NA,"exon (NM_026689, exon 1 of 4)","exon (NM_026689, exon 1 of 4)",138,NM_026689,68350,Mm.103413,NM_026689,ENSMUSG00000041241,Mul1,0610009K11Rik|AV000801|Gide,mitochondrial ubiquitin ligase activator of NFKB 1,protein-coding
clp_H3K4me3_1_peak_5423,chr15,51877200,51878200,+,140,NA,"exon (NM_030132, exon 1 of 3)","exon (NM_030132, exon 1 of 3)",259,NM_030132,78581,Mm.176347,NM_030132,ENSMUSG00000022313,Utp23,1700010I21Rik|AI662478|BB238373|D530033C11Rik,UTP23 small subunit processome component,protein-coding
clp_H3K4me3_1_peak_9682,chr2,170511159,170512159,+,140,NA,"non-coding (NR_040367, exon 1 of 3)","non-coding (NR_040367, exon 1 of 3)",268,NR_040367,100502946,Mm.421284,NR_040367,ENSMUSG00000085495,Gm16796,-,"predicted gene, 16796",ncRNA
clp_H3K4me3_1_peak_10181,chr3,90508401,90509401,+,140,NA,"intron (NM_023215, intron 1 of 4)","intron (NM_023215, intron 1 of 4)",597,NM_023215,66511,Mm.154136,NM_023215,ENSMUSG00000001017,Chtop,2500003M10Rik|Fop|Srag,chromatin target of PRMT1,protein-coding
clp_H3K4me3_1_peak_13004-2,chr6,39419636,39420636,+,139,NA,promoter-TSS (NM_001311109),promoter-TSS (NM_001311109),233,NM_018810,54484,Mm.270484,NM_018810,ENSMUSG00000029922,Mkrn1,RFP,"makorin, ring finger protein, 1",protein-coding
clp_H3K4me3_1_peak_15466,chr8,95887525,95888525,+,139,NA,"intron (NM_010325, intron 1 of 9)","intron (NM_010325, intron 1 of 9)",376,NM_010325,14719,Mm.230169,NM_010325,ENSMUSG00000031672,Got2,AL022787|FABP-pm|Got-2|Kyat4|mAspAT,"glutamatic-oxaloacetic transaminase 2, mitochondrial",protein-coding
clp_H3K4me3_1_peak_6817,chr17,31854700,31855700,+,139,NA,"intron (NM_010831, intron 1 of 13)",CpG-6228,604,NM_010831,17691,Mm.290941,NM_010831,ENSMUSG00000024042,Sik1,Hrt-20|Msk|Sik|Sik-1|Snf1lk,salt inducible kinase 1,protein-coding
clp_H3K4me3_1_peak_15443,chr8,94837890,94838890,+,139,NA,promoter-TSS (NM_134141),promoter-TSS (NM_134141),-23,NM_026452,67914,Mm.169234,NM_026452,ENSMUSG00000031782,Coq9,2310005O14Rik|C78387,coenzyme Q9,protein-coding
clp_H3K4me3_1_peak_2563,chr11,72689897,72690897,+,139,NA,"intron (NM_009671, intron 1 of 24)","intron (NM_009671, intron 1 of 24)",395,NM_009671,11736,Mm.10313,NM_009671,ENSMUSG00000020790,Ankfy1,Ankhzn|ZFYVE14|mKIAA1255,ankyrin repeat and FYVE domain containing 1,protein-coding
clp_H3K4me3_1_peak_6612,chr17,22866263,22867263,+,139,NA,"intron (NM_177358, intron 1 of 5)","intron (NM_177358, intron 1 of 5)",371,NM_001110254,240041,Mm.328828,NM_177358,ENSMUSG00000059142,Zfp945,A630033E08Rik|C730040L01Rik,zinc finger protein 945,protein-coding
clp_H3K4me3_1_peak_16619,chr9,120571426,120572426,+,139,NA,"intron (NM_025974, intron 1 of 5)","intron (NM_025974, intron 1 of 5)",409,NM_025974,67115,Mm.289810,NM_025974,ENSMUSG00000025794,Rpl14,3100001N19Rik|AA407502|AL022816|CAG-ISL-7|CTG-B33|L14,ribosomal protein L14,protein-coding
clp_H3K4me3_1_peak_15443-2,chr8,94837890,94838890,+,139,NA,promoter-TSS (NM_134141),promoter-TSS (NM_134141),-23,NM_026452,67914,Mm.169234,NM_026452,ENSMUSG00000031782,Coq9,2310005O14Rik|C78387,coenzyme Q9,protein-coding
clp_H3K4me3_1_peak_13004,chr6,39419636,39420636,+,139,NA,promoter-TSS (NM_001311109),promoter-TSS (NM_001311109),233,NM_018810,54484,Mm.270484,NM_018810,ENSMUSG00000029922,Mkrn1,RFP,"makorin, ring finger protein, 1",protein-coding
clp_H3K4me3_1_peak_13225,chr6,83794762,83795762,+,138,NA,promoter-TSS (NR_136916),promoter-TSS (NR_136916),104,NM_001164187,56174,Mm.190650,NM_019542,ENSMUSG00000034744,Nagk,Gnk,N-acetylglucosamine kinase,protein-coding
clp_H3K4me3_1_peak_5581-2,chr15,77970324,77971324,+,138,NA,promoter-TSS (NM_018749),promoter-TSS (NM_018749),0,NM_018749,55944,Mm.3955,NM_018749,ENSMUSG00000016554,Eif3d,66/67kDa|AA407891|Eif3s7|eIF3p66,"eukaryotic translation initiation factor 3, subunit D",protein-coding
clp_H3K4me3_1_peak_16962,chrX,105069622,105070622,+,138,NA,promoter-TSS (NR_015467),promoter-TSS (NR_015467),2,NR_015467,71445,Mm.242968,NR_015467,ENSMUSG00000087174,5530601H04Rik,AI835882,RIKEN cDNA 5530601H04 gene,ncRNA
clp_H3K4me3_1_peak_5530,chr15,76068983,76069983,+,138,NA,TTS (NM_001356629),TTS (NM_001356629),301,NM_001310542,105782,Mm.25568,NM_134089,ENSMUSG00000022568,Scrib,AI118201|CRIB|Crc|SCRIB1|Scrb1|mKIAA0147|vartul,scribbled planar cell polarity,protein-coding
clp_H3K4me3_1_peak_5581,chr15,77970324,77971324,+,138,NA,promoter-TSS (NM_018749),promoter-TSS (NM_018749),0,NM_018749,55944,Mm.3955,NM_018749,ENSMUSG00000016554,Eif3d,66/67kDa|AA407891|Eif3s7|eIF3p66,"eukaryotic translation initiation factor 3, subunit D",protein-coding
clp_H3K4me3_1_peak_15551,chr8,109692410,109693410,+,138,NA,"intron (NR_155034, intron 1 of 10)",CpG,384,NM_001361562,71955,Mm.290036,NM_028018,ENSMUSG00000031729,Ist1,2400003C14Rik|AW536298|mKIAA0174,increased sodium tolerance 1 homolog (yeast),protein-coding
clp_H3K4me3_1_peak_15683,chr8,123224249,123225249,+,138,NA,promoter-TSS (NM_194446),promoter-TSS (NM_194446),-92,NM_194444,234854,Mm.190984,NM_194444,ENSMUSG00000033862,Cdk10,BC017131,cyclin-dependent kinase 10,protein-coding
clp_H3K4me3_1_peak_13801,chr7,16452756,16453756,+,138,NA,"intron (NM_026938, intron 1 of 2)","intron (NM_026938, intron 1 of 2)",477,NM_026938,69094,Mm.29633,NM_026938,ENSMUSG00000019158,Tmem160,1810008O21Rik,transmembrane protein 160,protein-coding
clp_H3K4me3_1_peak_4579,chr13,100491685,100492685,+,138,NA,"intron (NM_022011, intron 1 of 15)",CpG,209,NR_153794,23894,Mm.272533,NM_022011,ENSMUSG00000021639,Gtf2h2,44kDa|BTF2 p44|BTF2-p44|Btf2p44|p44,"general transcription factor II H, polypeptide 2",protein-coding
clp_H3K4me3_1_peak_2762,chr11,86201261,86202261,+,138,NA,promoter-TSS (NM_178309),promoter-TSS (NM_178309),401,NR_130959,74038,Mm.171304,NR_130958,ENSMUSG00000085208,Brip1os,4632419I22Rik,"BRCA1 interacting protein C-terminal helicase 1, opposite strand",ncRNA
clp_H3K4me3_1_peak_16667,chrUn_JH584304,68508,69508,+,138,NA,Intergenic,GSAT_MM|Satellite|Satellite,-9319,NR_003518,66776,Mm.247625,NR_003518,,Pisd-ps3,4933439C20Rik,"phosphatidylserine decarboxylase, pseudogene 3",pseudo
clp_H3K4me3_1_peak_2767,chr11,86483675,86484675,+,138,NA,promoter-TSS (NM_029788),promoter-TSS (NM_029788),-482,NM_029788,76892,Mm.262707,NM_029788,ENSMUSG00000020521,Rnft1,0610013E23Rik|AV007605,"ring finger protein, transmembrane 1",protein-coding
clp_H3K4me3_1_peak_2141,chr11,29546964,29547964,+,138,NA,promoter-TSS (NM_001163521),promoter-TSS (NM_001163521),-486,NM_028504,73324,Mm.69388,NM_028504,ENSMUSG00000020461,Clhc1,1700034F02Rik,clathrin heavy chain linker domain containing 1,protein-coding
clp_H3K4me3_1_peak_10596,chr3,152346422,152347422,+,138,NA,"intron (NM_001076676, intron 1 of 23)",CpG,444,NM_001355666,170822,Mm.258320,NM_133247,ENSMUSG00000025437,Usp33,9830169D19Rik|AA409780|Vdu1,ubiquitin specific peptidase 33,protein-coding
clp_H3K4me3_1_peak_10973,chr4,88550124,88551124,+,138,NA,Intergenic,Intergenic,7621,NM_206870,242517,Mm.377261,NM_206870,ENSMUSG00000096011,Ifna15,Gm12597|Ifnaa|MuIFN-alpha-A,interferon alpha 15,protein-coding
clp_H3K4me3_1_peak_16186,chr9,65435625,65436625,+,138,NA,"intron (NM_027134, intron 1 of 8)","intron (NM_027134, intron 1 of 8)",343,NM_027134,69606,Mm.287956,NM_027134,ENSMUSG00000059183,Mtfmt,2310020P08Rik,mitochondrial methionyl-tRNA formyltransferase,protein-coding
clp_H3K4me3_1_peak_14893,chr8,3630889,3631889,+,138,NA,"intron (NM_001357168, intron 1 of 18)","intron (NM_001357168, intron 1 of 18)",280,NM_011503,20911,Mm.7247,NM_011503,ENSMUSG00000004626,Stxbp2,C79054|Munc-18-2|Munc-18b|Munc18b|Sxtbp2|Sxtp2|Unc18-2|Unc18b|muSec1,syntaxin binding protein 2,protein-coding
clp_H3K4me3_1_peak_15777,chr9,14500459,14501459,+,138,NA,promoter-TSS (NM_173433),promoter-TSS (NM_173433),340,NM_023153,66070,Mm.245938,NM_023153,ENSMUSG00000004096,Cwc15,0610040D20Rik|2900052N06Rik|Ed1|c11orf5|mED1,CWC15 spliceosome-associated protein,protein-coding
clp_H3K4me3_1_peak_9493,chr2,153741330,153742330,+,138,NA,"intron (NM_007896, intron 1 of 6)",MIR|SINE|MIR,543,NM_007896,13589,Mm.143877,NM_007896,ENSMUSG00000027479,Mapre1,5530600P05Rik|AI462499|AI504412|AW260097|BIM1p|D2Ertd459e|Eb1,"microtubule-associated protein, RP/EB family, member 1",protein-coding
clp_H3K4me3_1_peak_435,chr1,90603303,90604303,+,137,NA,"intron (NM_133805, intron 1 of 7)",B1F1|SINE|Alu,378,NM_133805,108679,Mm.119177,NM_133805,ENSMUSG00000034432,Cops8,9430009J09Rik|AA408242|Csn8|Sgn8,COP9 signalosome subunit 8,protein-coding
clp_H3K4me3_1_peak_10452,chr3,123507283,123508283,+,137,NA,TTS (NR_028573),TTS (NR_028573),283,NR_028573,100306957,Mm.260791,NR_028573,ENSMUSG00000092730,Snora24,ACA24,"small nucleolar RNA, H/ACA box 24",snoRNA
clp_H3K4me3_1_peak_15928-2,chr9,37656372,37657372,+,137,NA,"intron (NM_025289, intron 1 of 8)","intron (NM_025289, intron 1 of 8)",440,NM_025289,21376,Mm.28689,NM_025289,ENSMUSG00000011114,Tbrg1,AA408552|AA409675|Niam|Tb-5|mFLJ00213,transforming growth factor beta regulated gene 1,protein-coding
clp_H3K4me3_1_peak_5430,chr15,55089710,55090710,+,137,NA,"intron (NM_001355594, intron 1 of 9)",CpG,281,NM_183089,72107,Mm.486550,NM_183089,ENSMUSG00000022422,Dscc1,2010006I05Rik|2600005O03Rik|Dcc1,DNA replication and sister chromatid cohesion 1,protein-coding
clp_H3K4me3_1_peak_613,chr1,135146730,135147730,+,137,NA,"intron (NM_026823, intron 1 of 6)",CpG,396,NM_026823,68724,Mm.174998,NM_026823,ENSMUSG00000026426,Arl8a,1110033P22Rik|Arl10b|gie2,ADP-ribosylation factor-like 8A,protein-coding
clp_H3K4me3_1_peak_8779,chr2,33430800,33431800,+,137,NA,promoter-TSS (NM_001276332),promoter-TSS (NM_001276332),24,NM_001276332,241311,Mm.296512,NM_001085507,ENSMUSG00000068966,Zbtb34,Gm349|mKIAA1993,zinc finger and BTB domain containing 34,protein-coding
clp_H3K4me3_1_peak_1948,chr10,128695289,128696289,+,137,NA,"intron (NM_177411, intron 1 of 5)","intron (NM_177411, intron 1 of 5)",479,NM_177411,19344,Mm.12815,NM_011229,ENSMUSG00000000711,Rab5b,C030027M18Rik,"RAB5B, member RAS oncogene family",protein-coding
clp_H3K4me3_1_peak_7906,chr19,5636970,5637970,+,137,NA,promoter-TSS (NM_009045),promoter-TSS (NM_009045),-71,NM_001365067,19697,Mm.249966,NM_009045,ENSMUSG00000024927,Rela,p65|p65 NF-kappa B|p65 NFkB,v-rel reticuloendotheliosis viral oncogene homolog A (avian),protein-coding
clp_H3K4me3_1_peak_15245,chr8,71881619,71882619,+,137,NA,promoter-TSS (NM_145624),promoter-TSS (NM_145624),51,NM_145624,236193,Mm.290790,NM_145624,ENSMUSG00000056019,Zfp709,BC021921|GIOT-4|HIT-40,zinc finger protein 709,protein-coding
clp_H3K4me3_1_peak_613-2,chr1,135146730,135147730,+,137,NA,"intron (NM_026823, intron 1 of 6)",CpG,396,NM_026823,68724,Mm.174998,NM_026823,ENSMUSG00000026426,Arl8a,1110033P22Rik|Arl10b|gie2,ADP-ribosylation factor-like 8A,protein-coding
clp_H3K4me3_1_peak_8779-2,chr2,33430800,33431800,+,137,NA,promoter-TSS (NM_001276332),promoter-TSS (NM_001276332),24,NM_001276332,241311,Mm.296512,NM_001085507,ENSMUSG00000068966,Zbtb34,Gm349|mKIAA1993,zinc finger and BTB domain containing 34,protein-coding
clp_H3K4me3_1_peak_15155,chr8,69624598,69625598,+,137,NA,promoter-TSS (NM_001045553),promoter-TSS (NM_001045553),77,NM_001045553,234362,Mm.458487,NM_172754,ENSMUSG00000060427,Zfp868,AI449175|AW108241|C530032E20|mszf62,zinc finger protein 868,protein-coding
clp_H3K4me3_1_peak_15314,chr8,82773287,82774287,+,137,NA,"intron (NM_145600, intron 1 of 9)","intron (NM_145600, intron 1 of 9)",358,NM_001368343,30932,Mm.269248,NM_145600,ENSMUSG00000031711,Zfp330,BC008086|Noa36|Znf330,zinc finger protein 330,protein-coding
clp_H3K4me3_1_peak_10018,chr3,69721901,69722901,+,137,NA,"intron (NM_133787, intron 1 of 15)",CpG,346,NM_133787,97112,Mm.21062,NM_133787,ENSMUSG00000027787,Nmd3,C87860,NMD3 ribosome export adaptor,protein-coding
clp_H3K4me3_1_peak_5831,chr15,98662086,98663086,+,137,NA,"intron (NM_001080981, intron 1 of 16)","intron (NM_001080981, intron 1 of 16)",303,NM_001080981,74351,Mm.45725,NM_001080981,ENSMUSG00000003360,Ddx23,3110082M05Rik|4921506D17Rik,DEAD (Asp-Glu-Ala-Asp) box polypeptide 23,protein-coding
clp_H3K4me3_1_peak_7557,chr18,36782746,36783746,+,137,NA,promoter-TSS (NM_080636),promoter-TSS (NM_080636),37,NM_001305627,70791,Mm.282700,NM_080636,ENSMUSG00000019143,Hars2,4631412B19Rik|HARSR|HO3|Harsl,histidyl-tRNA synthetase 2,protein-coding
clp_H3K4me3_1_peak_2599,chr11,75630781,75631781,+,137,NA,"intron (NM_008916, intron 1 of 11)","intron (NM_008916, intron 1 of 11)",261,NM_008916,19062,Mm.1458,NM_008916,ENSMUSG00000006127,Inpp5k,C62|Pps|SKIP,inositol polyphosphate 5-phosphatase K,protein-coding
clp_H3K4me3_1_peak_5380,chr15,37006178,37007178,+,137,NA,"intron (NM_026521, intron 1 of 3)","intron (NM_026521, intron 1 of 3)",724,NM_026521,68036,Mm.371631,NM_026521,ENSMUSG00000062397,Zfp706,3110006P09Rik|AA793007|AW536850|C77232|Znf706,zinc finger protein 706,protein-coding
clp_H3K4me3_1_peak_13374,chr6,112696017,112697017,+,137,NA,"intron (NM_001167730, intron 1 of 13)",CpG,153,NM_021385,58186,Mm.103812,NM_021385,ENSMUSG00000030254,Rad18,2810024C04Rik|Rad18sc,RAD18 E3 ubiquitin protein ligase,protein-coding
clp_H3K4me3_1_peak_15928,chr9,37656372,37657372,+,137,NA,"intron (NM_025289, intron 1 of 8)","intron (NM_025289, intron 1 of 8)",440,NM_025289,21376,Mm.28689,NM_025289,ENSMUSG00000011114,Tbrg1,AA408552|AA409675|Niam|Tb-5|mFLJ00213,transforming growth factor beta regulated gene 1,protein-coding
clp_H3K4me3_1_peak_3353,chr12,3235347,3236347,+,137,NA,promoter-TSS (NR_015551),promoter-TSS (NR_015551),56,NR_015551,74173,Mm.309774,NM_028796,ENSMUSG00000079179,Rab10os,1700012B15Rik|1810036A22Rik,"RAB10, member RAS oncogene family, opposite strand",ncRNA
clp_H3K4me3_1_peak_8908,chr2,61593042,61594042,+,137,NA,"intron (NR_149324, intron 1 of 9)",CpG,445,NM_001164071,21353,Mm.244393,NM_011529,ENSMUSG00000064289,Tank,C86182|E430026L09Rik|I-TRAF,TRAF family member-associated Nf-kappa B activator,protein-coding
clp_H3K4me3_1_peak_4412,chr13,67127892,67128892,+,137,NA,"intron (NM_172392, intron 1 of 3)","intron (NM_172392, intron 1 of 3)",164,NM_172392,268670,Mm.56274,NM_172392,ENSMUSG00000057396,Zfp759,BC028265|Rslcan-8|Rslcan8,zinc finger protein 759,protein-coding
clp_H3K4me3_1_peak_3748,chr12,84316693,84317693,+,137,NA,"5' UTR (NM_001252582, exon 1 of 8)","intron (NM_001364223, intron 1 of 8)",334,NM_144833,52708,Mm.255150,NM_144833,ENSMUSG00000042472,Zfp410,Apa1|D12Ertd748e|Znf410,zinc finger protein 410,protein-coding
clp_H3K4me3_1_peak_513,chr1,118321690,118322690,+,136,NA,"intron (NM_026472, intron 1 of 6)","intron (NM_026472, intron 1 of 6)",347,NM_026472,67949,Mm.280311,NM_026472,ENSMUSG00000026377,Nifk,AI852665|C130020J04Rik|Mki67ip,nucleolar protein interacting with the FHA domain of MKI67,protein-coding
clp_H3K4me3_1_peak_323-2,chr1,72307027,72308027,+,136,NA,"5' UTR (NM_009533, exon 1 of 21)","5' UTR (NM_009533, exon 1 of 21)",106,NM_001357520,22596,Mm.246952,NM_009533,ENSMUSG00000026187,Xrcc5,AI314015|CTC85|CTCBF|Ku80|Ku86,X-ray repair complementing defective repair in Chinese hamster cells 5,protein-coding
clp_H3K4me3_1_peak_572-2,chr1,131867075,131868075,+,136,NA,"5' UTR (NM_144875, exon 2 of 6)","5' UTR (NM_144875, exon 2 of 6)",298,NM_144875,226422,Mm.34027,NM_144875,ENSMUSG00000026433,Rab29,Rab7l1,"RAB29, member RAS oncogene family",protein-coding
clp_H3K4me3_1_peak_260,chr1,59670118,59671118,+,136,NA,"intron (NM_009460, intron 1 of 4)",L1MDb|LINE|L1,216,NM_009460,22218,Mm.362118,NM_009460,ENSMUSG00000026021,Sumo1,GMP1|PIC1|SENTRIN|SMT3|SMT3H3|SMTP3|SUMO-1|Smt3C|Ubl1,small ubiquitin-like modifier 1,protein-coding
clp_H3K4me3_1_peak_1254,chr10,41450166,41451166,+,136,NA,"intron (NR_102360, intron 1 of 6)",CpG,308,NR_102360,268294,Mm.258475,NM_153398,ENSMUSG00000019826,Zbtb24,BC055367|Bif1|Bsg1|ZNF450,zinc finger and BTB domain containing 24,protein-coding
clp_H3K4me3_1_peak_3909,chr12,110737792,110738792,+,136,NA,"intron (NM_001347428, intron 1 of 2)",CpG,292,NM_001364273,69641,Mm.475762,NM_027149,ENSMUSG00000037957,Wdr20,2310040A13Rik|AI549910|Wdr20a,WD repeat domain 20,protein-coding
clp_H3K4me3_1_peak_12456,chr5,122354152,122355152,+,136,NA,promoter-TSS (NM_144912),promoter-TSS (NM_144912),324,NR_152873,56433,Mm.216528,NM_019780,ENSMUSG00000029462,Vps29,2010015D08Rik|AW049835|PEP11,VPS29 retromer complex component,protein-coding
clp_H3K4me3_1_peak_572,chr1,131867075,131868075,+,136,NA,"5' UTR (NM_144875, exon 2 of 6)","5' UTR (NM_144875, exon 2 of 6)",298,NM_144875,226422,Mm.34027,NM_144875,ENSMUSG00000026433,Rab29,Rab7l1,"RAB29, member RAS oncogene family",protein-coding
clp_H3K4me3_1_peak_323,chr1,72307027,72308027,+,136,NA,"5' UTR (NM_009533, exon 1 of 21)","5' UTR (NM_009533, exon 1 of 21)",106,NM_001357520,22596,Mm.246952,NM_009533,ENSMUSG00000026187,Xrcc5,AI314015|CTC85|CTCBF|Ku80|Ku86,X-ray repair complementing defective repair in Chinese hamster cells 5,protein-coding
clp_H3K4me3_1_peak_5221,chr14,105176328,105177328,+,136,NA,"exon (NM_134077, exon 1 of 21)","exon (NM_134077, exon 1 of 21)",486,NM_001368684,74213,Mm.124957,NM_134077,ENSMUSG00000022119,Rbm26,1700009P03Rik|AI447318|C230097K14Rik|C86225|MLZ-393|Pro1777|Se70-2,RNA binding motif protein 26,protein-coding
clp_H3K4me3_1_peak_13389,chr6,113378282,113379282,+,136,NA,"intron (NM_001170485, intron 1 of 3)","intron (NM_001170485, intron 1 of 3)",669,NM_001170486,68089,Mm.289306,NM_026552,ENSMUSG00000079426,Arpc4,20kDa|5330419I20Rik|AI327076|p20-Arc,"actin related protein 2/3 complex, subunit 4",protein-coding
clp_H3K4me3_1_peak_11845,chr5,30155196,30156196,+,136,NA,promoter-TSS (NM_178878),promoter-TSS (NM_178878),443,NM_145558,231086,Mm.291463,NM_145558,ENSMUSG00000059447,Hadhb,4930479F15Rik|Mtpb|TP-beta,"hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit",protein-coding
clp_H3K4me3_1_peak_9528,chr2,155818355,155819355,+,136,NA,TTS (NM_010808),TTS (NM_010808),348,NR_015528,613262,Mm.330707,NR_015528,ENSMUSG00000074649,BC029722,-,cDNA sequence BC029722,ncRNA
clp_H3K4me3_1_peak_14397,chr7,92668491,92669491,+,136,NA,"intron (NM_029078, intron 1 of 15)","intron (NM_029078, intron 1 of 15)",921,NM_029078,74737,Mm.288645,NM_029078,ENSMUSG00000041328,Pcf11,2500001H09Rik|5730417B17Rik|C77803,PCF11 cleavage and polyadenylation factor subunit,protein-coding
clp_H3K4me3_1_peak_4619,chr13,106936294,106937294,+,136,NA,"5' UTR (NM_001360897, exon 1 of 31)","5' UTR (NM_001360897, exon 1 of 31)",164,NM_029665,76582,Mm.132208,NM_029665,ENSMUSG00000042590,Ipo11,1700081H05Rik|2510001A17Rik|AI314624|AW555235|E330021B14Rik|Ranbp11,importin 11,protein-coding
clp_H3K4me3_1_peak_6627,chr17,23770797,23771797,+,136,NA,"intron (NM_001357993, intron 1 of 8)",CpG,294,NM_153791,224613,Mm.328835,NM_153791,ENSMUSG00000040097,Flywch1,E030034P13Rik|mKIAA1552,FLYWCH-type zinc finger 1,protein-coding
clp_H3K4me3_1_peak_2131,chr11,26592772,26593772,+,136,NA,"intron (NM_001252447, intron 1 of 11)","intron (NM_001252447, intron 1 of 11)",648,NM_027260,69922,Mm.285351,NM_027260,ENSMUSG00000064090,Vrk2,2810003O05Rik|AI447698,vaccinia related kinase 2,protein-coding
clp_H3K4me3_1_peak_8174,chr19,32711747,32712747,+,136,NA,promoter-TSS (NM_026487),promoter-TSS (NM_026487),51,NM_026487,67979,Mm.27123,NM_026487,ENSMUSG00000013662,Atad1,4921525H23Rik|AW107648|Thorase,"ATPase family, AAA domain containing 1",protein-coding
clp_H3K4me3_1_peak_13557,chr6,128361974,128362974,+,136,NA,promoter-TSS (NM_008021),promoter-TSS (NM_008021),348,NM_001326583,72440,Mm.143908,NM_197981,ENSMUSG00000048668,Rhno1,2510047L19Rik|5930416I19Rik,RAD9-HUS1-RAD1 interacting nuclear orphan 1,protein-coding
clp_H3K4me3_1_peak_6580,chr17,20945318,20946318,+,135,NA,"intron (NM_016891, intron 1 of 14)",CpG,364,NM_016891,51792,Mm.294138,NM_016891,ENSMUSG00000007564,Ppp2r1a,6330556D22Rik|PP2A|PR65,"protein phosphatase 2, regulatory subunit A, alpha",protein-coding
clp_H3K4me3_1_peak_11608,chr4,149485106,149486106,+,135,NA,promoter-TSS (NM_001356357),promoter-TSS (NM_001356357),340,NM_026963,69151,Mm.464434,NM_026963,ENSMUSG00000028990,Lzic,1810030J04Rik|AW047580,leucine zipper and CTNNBIP1 domain containing,protein-coding
clp_H3K4me3_1_peak_15824,chr9,21265127,21266127,+,135,NA,"exon (NM_153583, exon 1 of 10)","exon (NM_153583, exon 1 of 10)",342,NM_153583,235040,Mm.440165,NM_153583,ENSMUSG00000002820,Atg4d,9830134P12Rik|APG4-D|Apg4d|Atg4dl|Autl4,"autophagy related 4D, cysteine peptidase",protein-coding
clp_H3K4me3_1_peak_8829,chr2,38643477,38644477,+,135,NA,promoter-TSS (NM_011187),promoter-TSS (NM_011187),-71,NM_011187,19177,Mm.389251,NM_011187,ENSMUSG00000026750,Psmb7,AU020723|MC14,"proteasome (prosome, macropain) subunit, beta type 7",protein-coding
clp_H3K4me3_1_peak_982,chr1,185203933,185204933,+,135,NA,"intron (NM_001163754, intron 1 of 34)","intron (NM_001163754, intron 1 of 34)",265,NM_001163754,98732,Mm.275841,NM_172649,ENSMUSG00000039318,Rab3gap2,1110059F07Rik|2010002H18Rik|5830469C09|AI851069|AW743433|RAB3-GAP150|mKIAA0839,RAB3 GTPase activating protein subunit 2,protein-coding
