PeakID (cmd=annotatePeaks.pl clp_nocd8_H3K4me3.txt mm10 -size -500,500)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
clp_H3K4me3_1_peak_16651-2	chr9	123259704	123260704	+	84	NA	exon (NM_001002267, exon 1 of 1)	exon (NM_001002267, exon 1 of 1)	585	NM_001002267	72309	Mm.8569	NM_001002267	ENSMUSG00000054871	Tmem158	2310037P21Rik|Ris1	transmembrane protein 158	protein-coding
clp_H3K4me3_1_peak_13790	chr7	16272615	16273615	+	84	NA	TTS (NM_001136471)	TTS (NM_001136471)	577	NM_001136270	66300	Mm.218698	NM_001136270	ENSMUSG00000091811	Inafm1	2610014I16Rik|Prr24	InaF motif containing 1	protein-coding
clp_H3K4me3_1_peak_11145	chr4	116707626	116708626	+	84	NA	promoter-TSS (NR_151452)	promoter-TSS (NR_151452)	259	NM_025962	67096	Mm.252785	NM_025962	ENSMUSG00000028690	Mmachc	1810037K07Rik|CblC	methylmalonic aciduria cblC type, with homocystinuria	protein-coding
clp_H3K4me3_1_peak_3549	chr12	54986207	54987207	+	84	NA	promoter-TSS (NM_013815)	promoter-TSS (NM_013815)	-371	NM_013815	217578	Mm.479583	NM_013815	ENSMUSG00000035021	Baz1a	Acf1|B930060C03|BC065123|Gtl5|Wcrf180|cbp146	bromodomain adjacent to zinc finger domain 1A	protein-coding
clp_H3K4me3_1_peak_2739	chr11	84179707	84180707	+	84	NA	Intergenic	CpG	-12731	NM_001037932	628813	Mm.390389	NM_001037932	ENSMUSG00000051452	Gm11437	AI463690	predicted gene 11437	protein-coding
clp_H3K4me3_1_peak_10818	chr4	45319723	45320723	+	84	NA	intron (NM_001362788, intron 1 of 3)	CpG	393	NM_025513	66362	Mm.275788	NM_025513	ENSMUSG00000028322	Exosc3	2310005D06Rik|AI593501|Rrp40	exosome component 3	protein-coding
clp_H3K4me3_1_peak_11133	chr4	116507264	116508264	+	84	NA	intron (NM_008389, intron 1 of 8)	CpG	215	NM_008389	16351	Mm.1350	NM_008389	ENSMUSG00000028696	Ipp	D4Jhu8|Mipp	IAP promoted placental gene	protein-coding
clp_H3K4me3_1_peak_15063	chr8	41373842	41374842	+	84	NA	intron (NM_019734, intron 1 of 13)	intron (NM_019734, intron 1 of 13)	355	NM_019734	11886	Mm.22547	NM_019734	ENSMUSG00000031591	Asah1	2310081N20Rik|AC|Asah	N-acylsphingosine amidohydrolase 1	protein-coding
clp_H3K4me3_1_peak_9025	chr2	84677189	84678189	+	84	NA	promoter-TSS (NM_025885)	promoter-TSS (NM_025885)	485	NM_001290751	66958	Mm.371621	NM_025868	ENSMUSG00000050043	Tmx2	2310042M24Rik|AA589631|Txndc14	thioredoxin-related transmembrane protein 2	protein-coding
clp_H3K4me3_1_peak_16438	chr9	106446965	106447965	+	84	NA	intron (NM_001110271, intron 1 of 5)	CpG	213	NM_001110271	68644	Mm.268925	NM_145919	ENSMUSG00000042210	Abhd14a	1110013B16Rik|AW558221|Dorz1	abhydrolase domain containing 14A	protein-coding
clp_H3K4me3_1_peak_9657	chr2	167661425	167662425	+	84	NA	promoter-TSS (NM_145538)	promoter-TSS (NM_145538)	-381	NM_145538	407243	Mm.4863	NM_145538	ENSMUSG00000090213	Tmem189	AI840826|Kua	transmembrane protein 189	protein-coding
clp_H3K4me3_1_peak_2899	chr11	96977759	96978759	+	84	NA	promoter-TSS (NM_030220)	promoter-TSS (NM_030220)	-571	NM_030220	78912	Mm.491183	NM_030220	ENSMUSG00000018678	Sp2	4930480I16Rik|mKIAA0048	Sp2 transcription factor	protein-coding
clp_H3K4me3_1_peak_11968	chr5	38219584	38220584	+	84	NA	promoter-TSS (NM_025281)	promoter-TSS (NM_025281)	370	NM_029162	75079	Mm.258741	NM_029162	ENSMUSG00000029127	Zbtb49	4930518A03Rik|Zfp509|Znf509	zinc finger and BTB domain containing 49	protein-coding
clp_H3K4me3_1_peak_15346	chr8	84236395	84237395	+	84	NA	exon (NM_172503, exon 1 of 14)	exon (NM_172503, exon 1 of 14)	147	NM_172503	212168	Mm.117094	NM_172503	ENSMUSG00000035671	Zswim4	D330002I24|E130119J17Rik	zinc finger SWIM-type containing 4	protein-coding
clp_H3K4me3_1_peak_14952	chr8	18846054	18847054	+	84	NA	5' UTR (NM_026792, exon 1 of 8)	5' UTR (NM_026792, exon 1 of 8)	275	NM_026792	52123	Mm.24117	NM_026792	ENSMUSG00000031467	Agpat5	1110013A05Rik|D8Ertd319e	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon)	protein-coding
clp_H3K4me3_1_peak_1681	chr10	86778856	86779856	+	84	NA	intron (NM_175331, intron 1 of 13)	CpG	351	NM_175331	103466	Mm.200446	NM_175331	ENSMUSG00000054027	Nt5dc3	AU040402|AW540062|C630002B14Rik|TU12B1-TY	5'-nucleotidase domain containing 3	protein-coding
clp_H3K4me3_1_peak_1482	chr10	77605900	77606900	+	84	NA	promoter-TSS (NM_001301671)	promoter-TSS (NM_001301671)	-198	NM_001301671	20610	Mm.24433	NM_019929	ENSMUSG00000020265	Sumo3	2810014B19Rik|D10Ertd345e|SMT3A|SUMO-3|Smt3h1	small ubiquitin-like modifier 3	protein-coding
clp_H3K4me3_1_peak_7213	chr17	68003513	68004513	+	84	NA	promoter-TSS (NM_172964)	promoter-TSS (NM_172964)	95	NM_172964	268970	Mm.9935	NM_172964	ENSMUSG00000024043	Arhgap28	AU044757|AW550892|E130310N06	Rho GTPase activating protein 28	protein-coding
clp_H3K4me3_1_peak_12507	chr5	124111115	124112115	+	84	NA	promoter-TSS (NM_001347478)	promoter-TSS (NM_001347478)	-706	NM_025671	66627	Mm.7050	NM_025671	ENSMUSG00000023707	Ogfod2	1300006G11Rik|5730405M13Rik|AU041636|AW552395	2-oxoglutarate and iron-dependent oxygenase domain containing 2	protein-coding
clp_H3K4me3_1_peak_5672	chr15	81836044	81837044	+	84	NA	Intergenic	Intergenic	21782	NM_020507	57259	Mm.323595	NM_020507	ENSMUSG00000048546	Tob2	2900090N22Rik|4930545K18Rik|AV071822|mKIAA1663	transducer of ERBB2, 2	protein-coding
clp_H3K4me3_1_peak_14858	chr7	143547508	143548508	+	84	NA	intron (NM_008672, intron 1 of 15)	intron (NM_008672, intron 1 of 15)	820	NM_001285490	17955	Mm.294625	NM_008672	ENSMUSG00000059119	Nap1l4	2810410H14Rik|AI316776|D7Wsu30e|Nap2	nucleosome assembly protein 1-like 4	protein-coding
clp_H3K4me3_1_peak_5220-2	chr14	104521850	104522850	+	84	NA	intron (NM_026047, intron 1 of 5)	CpG	316	NM_026047	72486	Mm.291811	NM_026047	ENSMUSG00000022120	Rnf219	2610206B13Rik|2810449K13Rik|AI451544	ring finger protein 219	protein-coding
clp_H3K4me3_1_peak_13446	chr6	119387419	119388419	+	84	NA	intron (NM_197985, intron 1 of 7)	intron (NM_197985, intron 1 of 7)	815	NM_001355692	68465	Mm.291826	NM_197985	ENSMUSG00000030168	Adipor2	1110001I14Rik|ADCR2|AI115388|AW554121|D6Ucla1e|Paqr2	adiponectin receptor 2	protein-coding
clp_H3K4me3_1_peak_689	chr1	152901693	152902693	+	84	NA	intron (NM_001160257, intron 1 of 23)	CpG	452	NM_001359257	226517	Mm.270775	NM_001005507	ENSMUSG00000042772	Smg7	9430023P16Rik|mKIAA0250	Smg-7 homolog, nonsense mediated mRNA decay factor (C. elegans)	protein-coding
clp_H3K4me3_1_peak_5220	chr14	104521850	104522850	+	84	NA	intron (NM_026047, intron 1 of 5)	CpG	316	NM_026047	72486	Mm.291811	NM_026047	ENSMUSG00000022120	Rnf219	2610206B13Rik|2810449K13Rik|AI451544	ring finger protein 219	protein-coding
clp_H3K4me3_1_peak_6377	chr16	78264560	78265560	+	84	NA	Intergenic	Intergenic	-9606	NR_045698	100503619	Mm.387531	NR_045698	ENSMUSG00000109841	E330011O21Rik	-	RIKEN cDNA E330011O21 gene	ncRNA
clp_H3K4me3_1_peak_8894	chr2	59612203	59613203	+	84	NA	intron (NM_198294, intron 1 of 26)	CpG	661	NM_198294	66860	Mm.27917	NM_198294	ENSMUSG00000035168	Tanc1	1200003E16Rik|Tanc|mKIAA1728	tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 1	protein-coding
clp_H3K4me3_1_peak_11876	chr5	31240638	31241638	+	84	NA	intron (NM_147201, intron 1 of 17)	CpG	220	NM_147201	192292	Mm.292040	NM_147201	ENSMUSG00000029148	Nrbp1	B230344L17Rik|Nrbp	nuclear receptor binding protein 1	protein-coding
clp_H3K4me3_1_peak_6038	chr16	16212536	16213536	+	84	NA	promoter-TSS (NM_026163)	promoter-TSS (NM_026163)	-309	NM_026163	67451	Mm.2252	NM_026163	ENSMUSG00000041957	Pkp2	1200008D14Rik|1200012P04Rik|AA516617|Pkp2l	plakophilin 2	protein-coding
clp_H3K4me3_1_peak_2786	chr11	87358218	87359218	+	84	NA	exon (NM_177167, exon 1 of 7)	exon (NM_177167, exon 1 of 7)	276	NM_177167	320472	Mm.341988	NM_177167	ENSMUSG00000046442	Ppm1e	AW049266|B930008A12Rik|POPX1|PP2CH|mKIAA1072	protein phosphatase 1E (PP2C domain containing)	protein-coding
clp_H3K4me3_1_peak_12248	chr5	105876177	105877177	+	84	NA	non-coding (NR_030777, exon 1 of 10)	non-coding (NR_030777, exon 1 of 10)	109	NM_018759	54367	Mm.248876	NM_018759	ENSMUSG00000029290	Zfp326	5730470H14Rik|ZAN75|Znf326	zinc finger protein 326	protein-coding
clp_H3K4me3_1_peak_14924	chr8	11634175	11635175	+	84	NA	intron (NM_133971, intron 1 of 5)	intron (NM_133971, intron 1 of 5)	361	NR_030781	102334	Mm.12459	NM_133971	ENSMUSG00000031508	Ankrd10	4833425P12Rik|AW549277	ankyrin repeat domain 10	protein-coding
clp_H3K4me3_1_peak_14439	chr7	99979382	99980382	+	84	NA	intron (NM_175388, intron 1 of 5)	CpG	576	NM_175388	108937	Mm.323087	NM_175388	ENSMUSG00000058761	Rnf169	2900057K09Rik	ring finger protein 169	protein-coding
clp_H3K4me3_1_peak_15850-2	chr9	21955580	21956580	+	84	NA	promoter-TSS (NR_132099)	promoter-TSS (NR_132099)	-74	NR_132099	100049077	Mm.46647	NR_132099		Gm45914	-	predicted gene, 45914	ncRNA
clp_H3K4me3_1_peak_2845	chr11	94327669	94328669	+	84	NA	5' UTR (NM_146024, exon 1 of 5)	5' UTR (NM_146024, exon 1 of 5)	168	NM_027799	71452	Mm.141054	NM_027799	ENSMUSG00000020864	Ankrd40	1110011C06Rik|5530600A18Rik|Gcap15	ankyrin repeat domain 40	protein-coding
clp_H3K4me3_1_peak_9107	chr2	102900296	102901296	+	83	NA	intron (NM_001039150, intron 1 of 13)	intron (NM_001039150, intron 1 of 13)	869	NM_001177786	12505	Mm.423621	NM_009851	ENSMUSG00000005087	Cd44	AU023126|AW121933|AW146109|HERMES|Ly-24|Pgp-1	CD44 antigen	protein-coding
clp_H3K4me3_1_peak_11931	chr5	34368984	34369984	+	83	NA	promoter-TSS (NM_001243123)	promoter-TSS (NM_001243123)	-449	NM_001243123	231128	Mm.286885	NM_001030306	ENSMUSG00000037210	Fam193a	-	family with sequence homology 193, member A	protein-coding
clp_H3K4me3_1_peak_6865	chr17	33908323	33909323	+	83	NA	promoter-TSS (NM_007829)	promoter-TSS (NM_007829)	355	NR_045146	407803	Mm.250393	NR_045146	ENSMUSG00000092564	BC051226	-	cDNA sequence BC051226	ncRNA
clp_H3K4me3_1_peak_938	chr1	180777465	180778465	+	83	NA	Intergenic	CpG	35640	NM_008210	15078	Mm.138832	NM_008210	ENSMUSG00000060743	H3f3a	EyeLinc14|H3.3A	H3 histone, family 3A	protein-coding
clp_H3K4me3_1_peak_6328	chr16	56717291	56718291	+	83	NA	promoter-TSS (NM_001252443)	promoter-TSS (NM_001252443)	-341	NM_001357125	21787	Mm.425970	NM_019678	ENSMUSG00000022757	Tfg	AI173908	Trk-fused gene	protein-coding
clp_H3K4me3_1_peak_5752	chr15	88862047	88863047	+	83	NA	5' UTR (NM_145478, exon 1 of 6)	5' UTR (NM_145478, exon 1 of 6)	353	NM_145478	223775	Mm.400129	NM_145478	ENSMUSG00000035828	Pim3	BC026639|Kid1	proviral integration site 3	protein-coding
clp_H3K4me3_1_peak_9563	chr2	157278971	157279971	+	83	NA	promoter-TSS (NM_001355165)	promoter-TSS (NM_001355165)	45	NM_001355165	20014	Mm.22130	NM_019642	ENSMUSG00000027642	Rpn2	1300012C06Rik|AV261018|Rpn-2	ribophorin II	protein-coding
clp_H3K4me3_1_peak_14329	chr7	80387258	80388258	+	83	NA	intron (NM_010194, intron 1 of 18)	intron (NM_010194, intron 1 of 18)	188	NM_010194	14159	Mm.48757	NM_010194	ENSMUSG00000053158	Fes	AI586313|BB137047|FPS|c-fes	feline sarcoma oncogene	protein-coding
clp_H3K4me3_1_peak_9930	chr3	51788737	51789737	+	83	NA	intron (NM_001004176, intron 2 of 4)	intron (NM_001004176, intron 2 of 4)	128058	NM_001310482	211666	Mm.24679	NM_174995	ENSMUSG00000074604	Mgst2	GST2|MGST-II	microsomal glutathione S-transferase 2	protein-coding
clp_H3K4me3_1_peak_6742	chr17	27556323	27557323	+	83	NA	5' UTR (NM_016660, exon 1 of 5)	intron (NM_001025427, intron 1 of 4)	170	NM_001166476	111241	Mm.426212	NM_001166476	ENSMUSG00000078249	Hmga1b	Hmga1-rs1|Hmgi-rs1	high mobility group AT-hook 1B	protein-coding
clp_H3K4me3_1_peak_1206	chr10	30802360	30803360	+	83	NA	5' UTR (NM_001358841, exon 1 of 16)	5' UTR (NM_001358841, exon 1 of 16)	466	NM_001358842	211329	Mm.297903	NM_172495	ENSMUSG00000039697	Ncoa7	9030406N13Rik	nuclear receptor coactivator 7	protein-coding
clp_H3K4me3_1_peak_14572	chr7	114414879	114415879	+	83	NA	promoter-TSS (NR_029437)	promoter-TSS (NR_029437)	125	NM_011055	18576	Mm.430730	NM_011055	ENSMUSG00000030671	Pde3b	9830102A01Rik|AI847709	phosphodiesterase 3B, cGMP-inhibited	protein-coding
clp_H3K4me3_1_peak_7450	chr18	21299451	21300451	+	83	NA	5' UTR (NM_001033445, exon 1 of 6)	5' UTR (NM_001033445, exon 1 of 6)	188	NM_001033445	381126	Mm.312276	NM_001033445	ENSMUSG00000042680	Garem1	C86169|Fam59a|Garem|Gm944|mKIAA4238	GRB2 associated regulator of MAPK1 subtype 1	protein-coding
clp_H3K4me3_1_peak_13272	chr6	87530989	87531989	+	83	NA	intron (NM_001037727, intron 1 of 10)	intron (NM_001037727, intron 1 of 10)	1770	NM_001286610	232201	Mm.119564	NM_175476	ENSMUSG00000030047	Arhgap25	A130039I20Rik	Rho GTPase activating protein 25	protein-coding
clp_H3K4me3_1_peak_17044-2	chrX	151095620	151096620	+	83	NA	intron (NR_028392, intron 1 of 3)	intron (NR_028392, intron 1 of 3)	423	NM_175146	69499	Mm.8142	NM_175146	ENSMUSG00000025264	Tsr2	2310007F12Rik	TSR2 20S rRNA accumulation	protein-coding
clp_H3K4me3_1_peak_15046	chr8	35376395	35377395	+	83	NA	intron (NM_001364451, intron 2 of 2)	intron (NM_001364451, intron 2 of 2)	233	NM_001364452	244416	Mm.247126	NM_177741	ENSMUSG00000046794	Ppp1r3b	6430576E21|AW821953|GL|PTG	protein phosphatase 1, regulatory subunit 3B	protein-coding
clp_H3K4me3_1_peak_10412	chr3	116424094	116425094	+	83	NA	promoter-TSS (NM_001173553)	promoter-TSS (NM_001173553)	-562	NM_001080818	229776	Mm.17647	NM_001080818	ENSMUSG00000033502	Cdc14a	A830059A17Rik|CDC14A2|CDC14a1|Cdc14	CDC14 cell division cycle 14A	protein-coding
clp_H3K4me3_1_peak_1616	chr10	81430235	81431235	+	83	NA	Intergenic	CpG	-3562	NM_008688	18029	Mm.426936	NM_008688	ENSMUSG00000055053	Nfic	1110019L22Rik|1500041O16Rik|AA589446|AI746521|NF1-C	nuclear factor I/C	protein-coding
clp_H3K4me3_1_peak_15064	chr8	41374683	41375683	+	83	NA	promoter-TSS (NM_019734)	promoter-TSS (NM_019734)	-486	NM_019734	11886	Mm.22547	NM_019734	ENSMUSG00000031591	Asah1	2310081N20Rik|AC|Asah	N-acylsphingosine amidohydrolase 1	protein-coding
clp_H3K4me3_1_peak_3659	chr12	75595321	75596321	+	83	NA	5' UTR (NM_012024, exon 1 of 14)	5' UTR (NM_012024, exon 1 of 14)	411	NM_012024	26932	Mm.259626	NM_012024	ENSMUSG00000021051	Ppp2r5e	4633401M22Rik|B56beta	protein phosphatase 2, regulatory subunit B', epsilon	protein-coding
clp_H3K4me3_1_peak_2646	chr11	78037716	78038716	+	83	NA	TTS (NM_183286)	TTS (NM_183286)	285	NM_001362625	14252	Mm.130227	NM_008028	ENSMUSG00000061981	Flot2	AI573412|Esa|reggie-2	flotillin 2	protein-coding
clp_H3K4me3_1_peak_9849	chr3	32365580	32366580	+	83	NA	promoter-TSS (NM_009517)	promoter-TSS (NM_009517)	-415	NM_009517	22401	Mm.35705	NM_009517	ENSMUSG00000027663	Zmat3	Wig1	zinc finger matrin type 3	protein-coding
clp_H3K4me3_1_peak_5848-2	chr15	98992735	98993735	+	83	NA	Intergenic	CpG	7270	NR_045991	75951	Mm.441657	NR_045991	ENSMUSG00000097587	4930578M01Rik	3010001K12Rik	RIKEN cDNA 4930578M01 gene	ncRNA
clp_H3K4me3_1_peak_10854	chr4	48279515	48280515	+	83	NA	promoter-TSS (NM_029572)	promoter-TSS (NM_029572)	255	NM_010569	16348	Mm.317706	NM_010569	ENSMUSG00000028344	Invs	Nphp2|inv	inversin	protein-coding
clp_H3K4me3_1_peak_2252	chr11	51263127	51264127	+	83	NA	promoter-TSS (NM_177567)	promoter-TSS (NM_177567)	35	NM_001358281	193286	Mm.80975	NM_177567	ENSMUSG00000045942	BC049762	4930503F14	cDNA sequence BC049762	protein-coding
clp_H3K4me3_1_peak_13437	chr6	117900098	117901098	+	83	NA	intron (NM_001166432, intron 1 of 3)	MLT2F|LTR|ERVL	258	NM_001166432	98758	Mm.422979	NM_133834	ENSMUSG00000042079	Hnrnpf	4833420I20Rik|AA407306|Hnrpf	heterogeneous nuclear ribonucleoprotein F	protein-coding
clp_H3K4me3_1_peak_7687	chr18	65800369	65801369	+	83	NA	intron (NM_025468, intron 1 of 5)	intron (NM_025468, intron 1 of 5)	291	NM_025468	66286	Mm.27800	NM_025468	ENSMUSG00000024516	Sec11c	1810029G24Rik|Sec11l3	SEC11 homolog C, signal peptidase complex subunit	protein-coding
clp_H3K4me3_1_peak_6025	chr16	13819324	13820324	+	83	NA	intron (NM_001346109, intron 1 of 7)	intron (NM_001346109, intron 1 of 7)	573	NM_001346106	18203	Mm.380410	NM_010946	ENSMUSG00000022681	Ntan1	PNAA|PNAD	N-terminal Asn amidase	protein-coding
clp_H3K4me3_1_peak_2924	chr11	97703020	97704020	+	83	NA	promoter-TSS (NM_011971)	promoter-TSS (NM_011971)	86	NM_011971	26446	Mm.21874	NM_011971	ENSMUSG00000069744	Psmb3	AL033320|C10-II	proteasome (prosome, macropain) subunit, beta type 3	protein-coding
clp_H3K4me3_1_peak_12426	chr5	120649018	120650018	+	83	NA	exon (NM_013832, exon 2 of 22)	exon (NM_013832, exon 2 of 22)	330	NM_001281999	19415	Mm.41209	NM_013832	ENSMUSG00000029602	Rasal1	MRASAL	RAS protein activator like 1 (GAP1 like)	protein-coding
clp_H3K4me3_1_peak_10534	chr3	139074208	139075208	+	83	NA	intron (NM_001356388, intron 1 of 13)	CpG	493	NM_001356388	229877	Mm.28893	NM_145544	ENSMUSG00000028149	Rap1gds1	BC011279|GDS1	RAP1, GTP-GDP dissociation stimulator 1	protein-coding
clp_H3K4me3_1_peak_16447	chr9	106822477	106823477	+	83	NA	intron (NM_001015507, intron 1 of 22)	B1_Mus1|SINE|Alu	1001	NM_001015507	321006	Mm.440089	NM_001015507	ENSMUSG00000040325	Dcaf1	AI447437|B930007L02Rik|Vprbp|mKIAA0800	DDB1 and CUL4 associated factor 1	protein-coding
clp_H3K4me3_1_peak_5663	chr15	81584399	81585399	+	83	NA	Intergenic	Intergenic	-1315	NM_177821	328572	Mm.258397	NM_177821	ENSMUSG00000055024	Ep300	A430090G16|A730011L11|KAT3B|p300|p300 HAT	E1A binding protein p300	protein-coding
clp_H3K4me3_1_peak_9225	chr2	120404240	120405240	+	83	NA	promoter-TSS (NM_001110497)	promoter-TSS (NM_001110497)	-624	NM_001110496	211499	Mm.260712	NM_173734	ENSMUSG00000033808	Tmem87a	A930025J12Rik	transmembrane protein 87A	protein-coding
clp_H3K4me3_1_peak_14820	chr7	141171777	141172777	+	83	NA	intron (NM_001172100, intron 1 of 9)	intron (NM_001172100, intron 1 of 9)	574	NM_001172100	107702	Mm.197493	NM_145135	ENSMUSG00000038650	Rnh1	AW546468|C80305|RNH	ribonuclease/angiogenin inhibitor 1	protein-coding
clp_H3K4me3_1_peak_6969	chr17	36042701	36043701	+	83	NA	promoter-TSS (NM_010397)	promoter-TSS (NM_010397)	240	NM_001034909	547347	Mm.484641	NM_001034909	ENSMUSG00000073407	Gm6034	EG547347|H2-gs14-2	predicted gene 6034	protein-coding
clp_H3K4me3_1_peak_6946	chr17	35516149	35517149	+	83	NA	promoter-TSS (NM_146248)	promoter-TSS (NM_146248)	175	NM_001163764	106795	Mm.11434	NM_025674	ENSMUSG00000050410	Tcf19	5730403J10Rik|AW495861	transcription factor 19	protein-coding
clp_H3K4me3_1_peak_10635	chr4	6190911	6191911	+	83	NA	intron (NM_026534, intron 1 of 7)	intron (NM_026534, intron 1 of 7)	306	NM_026534	68053	Mm.404043	NM_026534	ENSMUSG00000028243	Ubxn2b	3110003A22Rik|6430407D20Rik|AI451665|p37	UBX domain protein 2B	protein-coding
clp_H3K4me3_1_peak_8078	chr19	15924109	15925109	+	83	NA	promoter-TSS (NM_001205339)	promoter-TSS (NM_001205339)	13	NM_001205339	107272	Mm.289936	NM_177420	ENSMUSG00000024640	Psat1	D8Ertd814e|EPIP|PSA|Psat	phosphoserine aminotransferase 1	protein-coding
clp_H3K4me3_1_peak_667-2	chr1	150393516	150394516	+	83	NA	promoter-TSS (NM_001077237)	promoter-TSS (NM_001077237)	-936	NM_001357579	226499	Mm.222093	NM_145511	ENSMUSG00000006010	Odr4	1810053E15Rik|odr-4	odr4 GPCR localization factor homolog	protein-coding
clp_H3K4me3_1_peak_5848	chr15	98992735	98993735	+	83	NA	Intergenic	CpG	7270	NR_045991	75951	Mm.441657	NR_045991	ENSMUSG00000097587	4930578M01Rik	3010001K12Rik	RIKEN cDNA 4930578M01 gene	ncRNA
clp_H3K4me3_1_peak_8550	chr2	23067330	23068330	+	83	NA	promoter-TSS (NR_149742)	promoter-TSS (NR_149742)	-371	NR_149742	74159	Mm.181973	NM_028793	ENSMUSG00000026781	Acbd5	1300014E15Rik	acyl-Coenzyme A binding domain containing 5	protein-coding
clp_H3K4me3_1_peak_8077	chr19	15801211	15802211	+	83	NA	Intergenic	Intergenic	122911	NM_001205339	107272	Mm.289936	NM_177420	ENSMUSG00000024640	Psat1	D8Ertd814e|EPIP|PSA|Psat	phosphoserine aminotransferase 1	protein-coding
clp_H3K4me3_1_peak_1397	chr10	63428079	63429079	+	83	NA	Intergenic	Intergenic	-1519	NM_177612	216033	Mm.444692	NM_177612	ENSMUSG00000060843	Ctnna3	4930429L08Rik|4933408A16|Catna3|Vr22	catenin (cadherin associated protein), alpha 3	protein-coding
clp_H3K4me3_1_peak_12086	chr5	73338018	73339018	+	83	NA	intron (NM_026950, intron 1 of 6)	intron (NM_026950, intron 1 of 6)	429	NM_026950	433904	Mm.274892	NM_026950	ENSMUSG00000029153	Ociad2	1810027I20Rik	OCIA domain containing 2	protein-coding
clp_H3K4me3_1_peak_7007	chr17	44777119	44778119	+	83	NA	intron (NR_158206, intron 1 of 11)	CpG	453	NR_158206	109115	Mm.431327	NM_178652	ENSMUSG00000038954	Supt3	2310066G22Rik|AI315192|SPT3|SPT3L|Supt3h	suppressor of Ty 3	protein-coding
clp_H3K4me3_1_peak_12766	chr5	145114090	145115090	+	83	NA	intron (NM_023142, intron 1 of 9)	CpG	334	NM_023142	11867	Mm.30010	NM_023142	ENSMUSG00000029622	Arpc1b	41kDa|AA408064|AA408534|AA571392|AF007010|AW208418|L72|SOP2Hs|p41-ARC	actin related protein 2/3 complex, subunit 1B	protein-coding
clp_H3K4me3_1_peak_17020	chrX	139997660	139998660	+	83	NA	intron (NM_001172147, intron 1 of 7)	intron (NM_001172147, intron 1 of 7)	435	NM_001172147	237073	Mm.256670	NM_153586	ENSMUSG00000031433	Rbm41	BB131279|D330023I21Rik	RNA binding motif protein 41	protein-coding
clp_H3K4me3_1_peak_1398	chr10	63428677	63429677	+	83	NA	promoter-TSS (NM_177612)	promoter-TSS (NM_177612)	-921	NM_177612	216033	Mm.444692	NM_177612	ENSMUSG00000060843	Ctnna3	4930429L08Rik|4933408A16|Catna3|Vr22	catenin (cadherin associated protein), alpha 3	protein-coding
clp_H3K4me3_1_peak_539	chr1	128243368	128244368	+	83	NA	promoter-TSS (NM_001356529)	promoter-TSS (NM_001356529)	-269	NM_001356529	67812	Mm.293321	NM_026390	ENSMUSG00000026353	Ubxn4	1300013G12Rik|Ubxd2|mKIAA0242	UBX domain protein 4	protein-coding
clp_H3K4me3_1_peak_12746	chr5	143527572	143528572	+	83	NA	promoter-TSS (NM_001347530)	promoter-TSS (NM_001347530)	-41	NM_001347530	19353	Mm.292510	NM_009007	ENSMUSG00000001847	Rac1	AL023026|D5Ertd559e	Rac family small GTPase 1	protein-coding
clp_H3K4me3_1_peak_12399	chr5	117114599	117115599	+	83	NA	intron (NM_178622, intron 1 of 11)	intron (NM_178622, intron 1 of 11)	894	NM_178622	71954	Mm.34456	NM_178622	ENSMUSG00000066900	Suds3	2400003N08Rik|2410008L21Rik|AU067672|mSds3	suppressor of defective silencing 3 homolog (S. cerevisiae)	protein-coding
clp_H3K4me3_1_peak_11986	chr5	43841079	43842079	+	83	NA	intron (NM_009763, intron 8 of 8)	intron (NM_009763, intron 8 of 8)	22686	NM_009763	12182	Mm.246332	NM_009763	ENSMUSG00000029082	Bst1	114/A10|A530073F09|BP-3|Bp3|Bsta1|CD157|Ly65	bone marrow stromal cell antigen 1	protein-coding
clp_H3K4me3_1_peak_11985	chr5	43807378	43808378	+	83	NA	Intergenic	Intergenic	-11015	NM_009763	12182	Mm.246332	NM_009763	ENSMUSG00000029082	Bst1	114/A10|A530073F09|BP-3|Bp3|Bsta1|CD157|Ly65	bone marrow stromal cell antigen 1	protein-coding
clp_H3K4me3_1_peak_11066-2	chr4	107889698	107890698	+	83	NA	exon (NM_001347160, exon 2 of 8)	exon (NM_001347160, exon 2 of 8)	299	NM_028754	74098	Mm.274853	NM_028754	ENSMUSG00000028608	Czib	0610037L13Rik|1110008H16Rik	CXXC motif containing zinc binding protein	protein-coding
clp_H3K4me3_1_peak_1500	chr10	78425237	78426237	+	83	NA	promoter-TSS (NM_007793)	promoter-TSS (NM_007793)	67	NM_007793	13014	Mm.6095	NM_007793	ENSMUSG00000005054	Cstb	AA960480|Stfb	cystatin B	protein-coding
